Code,Department,Title,Hours,Enrollment,Semester,Year
MATH 291.001,MATH,Calculus III,4,20,FALL,2006
MATH 291.001,MATH,Calculus III,4,20,FALL,2006
MATH 291.002,MATH,Calculus III,4,27,FALL,2006
MATH 291.002,MATH,Calculus III,4,27,FALL,2006
MATH 394.001,MATH,Differential Equations,3,29,FALL,2006
MATH 480.005,MATH,Mathematics Seminar,1,2,FALL,2006
MATH 291.001,MATH,Calculus III,4,17,FALL,2007
MATH 291.001,MATH,Calculus III,4,17,FALL,2007
MATH 291.002,MATH,Calculus III,4,21,FALL,2007
MATH 291.002,MATH,Calculus III,4,21,FALL,2007
MATH 373.001,MATH,Fractal Geometry,3,6,FALL,2007
MATH 371.0X1,MATH,Reading in Math,1,1,SPRING,2007
MATH 371.0X2,MATH,Space Filling Curves,1,1,SPRING,2007
MATH 395.001,MATH,Partial Differential Equations,3,23,SPRING,2007
MATH 395.002,MATH,Partial Differential Equations,3,8,SPRING,2007
MATH 480.007,MATH,Mathematics Seminar,1,1,SPRING,2007
MATH 191.002,MATH,Calculus I,4,29,FALL,2008
MATH 191.002,MATH,Calculus I,4,29,FALL,2008
MATH 191.003,MATH,Calculus I,4,33,FALL,2008
MATH 191.003,MATH,Calculus I,4,33,FALL,2008
MATH 398.001,MATH,Complex Variables,3,12,FALL,2008
MATH 291.001,MATH,Calculus III,4,17,SPRING,2008
MATH 291.001,MATH,Calculus III,4,17,SPRING,2008
MATH 291.002,MATH,Calculus III,4,18,SPRING,2008
MATH 291.002,MATH,Calculus III,4,18,SPRING,2008
MATH 366.001,MATH,Linear Algebra II,3,17,SPRING,2008
MATH 480.007,MATH,Mathematics Seminar,1,2,SPRING,2008
MATH 291.002,MATH,Calculus III,4,31,FALL,2009
MATH 332.001,MATH,Geometry,3,21,FALL,2009
MATH 332.001,MATH,Geometry,3,21,FALL,2009
MATH 397.001,MATH,Chaos and Fractals,3,15,FALL,2009
MATH 192.001,MATH,Calculus II,4,32,SPRING,2009
MATH 192.001,MATH,Calculus II,4,32,SPRING,2009
MATH 192.002,MATH,Calculus II,4,20,SPRING,2009
MATH 192.002,MATH,Calculus II,4,20,SPRING,2009
MATH 271.001,MATH,Intro to Mathematica,1,17,SPRING,2009
MATH 379.001,MATH,Chaos and Fractals,3,8,SPRING,2009
MATH 480.007,MATH,Mathematics Seminar,1,1,SPRING,2009
MATH 499.001,MATH,Undergraduate Research in MATH,1,1,SPRING,2009
MATH 499.002,MATH,Transcentdental Functions,1,1,SPRING,2009
MATH 271.001,MATH,Mathematica,1,17,FALL,2010
MATH 291.001,MATH,Calculus III,4,33,FALL,2010
MATH 291.002,MATH,Calculus III,4,32,FALL,2010
MATH 371.001,MATH,Mathematica Demonstrations,1,1,FALL,2010
MATH 394.001,MATH,Differential Equations,3,32,FALL,2010
CSCI 372.001,CSCI,Math Link and I-Graph,2,1,SPRING,2010
CSCI 381.001,CSCI,Numerical Analysis,3,5,SPRING,2010
CSCI 381.001,CSCI,Numerical Analysis,3,5,SPRING,2010
MATH 191.001,MATH,Calculus I,4,34,SPRING,2010
MATH 191.002,MATH,Calculus I,4,34,SPRING,2010
MATH 341.001,MATH,Numerical Analysis,3,14,SPRING,2010
MATH 341.001,MATH,Numerical Analysis,3,14,SPRING,2010
MATH 191.005,MATH,Calculus I,4,15,FALL,2011
MATH 291.003,MATH,Calculus III,4,19,FALL,2011
MATH 491.001,MATH,Analysis I,3,20,FALL,2011
MATH 291.001,MATH,Calculus III,4,13,SPRING,2011
MATH 291.002,MATH,Calculus III,4,18,SPRING,2011
MATH 371.001,MATH,Differential Equations,1,1,SPRING,2011
MATH 395.001,MATH,Partial Differential Equations,3,20,SPRING,2011
MATH 192.001,MATH,Calculus II,4,15,SUMMER,2011
MATH 191.004,MATH,Calculus I,4,30,FALL,2012
MATH 271.001,MATH,Mathematica,1,16,FALL,2012
MATH 394.001,MATH,Differential Equations,3,20,FALL,2012
MATH 394.002,MATH,Differential Equations,3,15,FALL,2012
MATH 167.001,MATH,Precalculus,4,18,SPRING,2012
MATH 167.002,MATH,Precalculus,4,21,SPRING,2012
MATH 271.001,MATH,Mathematica,1,11,SPRING,2012
MATH 492.001,MATH,Analysis II,3,15,SPRING,2012
MATH 191.001,MATH,Calculus I,4,18,SUMMER,2012
MATH 291.001,MATH,Calculus III,4,22,FALL,2013
MATH 291.002,MATH,Calculus III,4,28,FALL,2013
MATH 397.001,MATH,Chaos and Fractals,3,23,FALL,2013
MATH 499.0X2,MATH,Undergraduate Research in MATH,1,1,FALL,2013
MATH 192.003,MATH,Calculus II,4,23,SPRING,2013
MATH 192.004,MATH,Calculus II,4,14,SPRING,2013
MATH 372.0X1,MATH,Complex Dynamics,2,1,SPRING,2013
MATH 395.001,MATH,Partial Differential Equations,3,18,SPRING,2013
MATH 191.001,MATH,Calculus I,4,15,SUMMER,2013
MATH 191.003,MATH,Calculus I,4,29,FALL,2014
MATH 191.004,MATH,Calculus I,4,28,FALL,2014
MATH 398.001,MATH,Complex Variables,3,16,FALL,2014
MATH 291.001,MATH,Calculus III,4,29,SPRING,2014
MATH 291.002,MATH,Calculus III,4,31,SPRING,2014
MATH 391.001,MATH,Advanced Calculus,3,13,SPRING,2014
MATH 499.0X2,MATH,Undergraduate Research in MATH,1,1,SPRING,2014
MATH 291.001,MATH,Calculus III,4,14,SUMMER,2014
MATH 192.002,MATH,Calculus II,4,26,FALL,2015
MATH 381.001,MATH,Problems in Mathematics,1,25,FALL,2015
MATH 491.001,MATH,Analysis I,3,17,FALL,2015
MATH 491.002,MATH,Analysis I,3,14,FALL,2015
MATH 291.001,MATH,Calculus III,4,28,SPRING,2015
MATH 291.002,MATH,Calculus III,4,28,SPRING,2015
MATH 395.001,MATH,Partial Differential Equations,3,22,SPRING,2015
MATH 178.001,MATH,Fractals and Chaos,4,17,FALL,2016
MATH 192.001,MATH,Calculus II,4,25,FALL,2016
MATH 398.001,MATH,Complex Variables,3,15,FALL,2016
CSCI 441.001,CSCI,Numerical Analysis,3,3,SPRING,2016
MATH 191.002,MATH,Calculus I,4,30,SPRING,2016
MATH 441.001,MATH,Numerical Analysis,3,13,SPRING,2016
MATH 492.001,MATH,Analysis II,3,8,SPRING,2016
MATH 397.001,MATH,Chaos and Fractals,3,16,FALL,2017
STAT 185.001,STAT,Introductory Statistics,4,32,FALL,2017
STAT 185.002,STAT,Introductory Statistics,4,32,FALL,2017
MATH 192.001,MATH,Calculus II,4,31,SPRING,2017
MATH 192.004,MATH,Calculus II,4,27,SPRING,2017
MATH 373.001,MATH,Complex Dynamics,3,10,SPRING,2017
STAT 185.001,STAT,Introductory Statistics,4,19,SUMMER,2017
MATH 191.001,MATH,Calculus I,4,29,FALL,2018
MATH 398.001,MATH,Complex Variables,3,13,FALL,2018
STAT 225.001,STAT,Calculus-Based Statistics,4,13,FALL,2018
CSCI 441.001,CSCI,Numerical Analysis,3,4,SPRING,2018
MATH 191.001,MATH,Calculus I,4,31,SPRING,2018
MATH 391.001,MATH,Advanced Calculus,3,11,SPRING,2018
MATH 441.001,MATH,Numerical Analysis,3,15,SPRING,2018
STAT 185.001,STAT,Introductory Statistics,4,14,SUMMER,2018
MATH 191.003,MATH,Calculus I,4,26,FALL,2019
MATH 191.003,MATH,Calculus I,4,26,FALL,2019
MATH 365.001,MATH,Linear Algebra I,3,20,FALL,2019
MATH 365.002,MATH,Linear Algebra I,3,14,FALL,2019
MATH 381.001,MATH,Problems in Mathematics,1,17,FALL,2019
MATH 191.001,MATH,Calculus I,4,24,SPRING,2019
MATH 191.002,MATH,Calculus I,4,28,SPRING,2019
MATH 373.001,MATH,Complex Dynamical Systems,3,8,SPRING,2019
STAT 185.001,STAT,Introductory Statistics,4,9,SUMMER,2019
MATH 394.001,MATH,Differential Equations,3,21,FALL,2020
STAT 185.001,STAT,Introductory Statistics,4,18,FALL,2020
STAT 185.004,STAT,Introductory Statistics,4,20,FALL,2020
MATH 291.001,MATH,Calculus III,4,12,SPRING,2020
MATH 291.001,MATH,Calculus III,4,12,SPRING,2020
MATH 291.002,MATH,Calculus III,4,30,SPRING,2020
MATH 291.002,MATH,Calculus III,4,30,SPRING,2020
MATH 366.001,MATH,Linear Algebra II,3,15,SPRING,2020
MATH 171.001,MATH,Calculus I Support,1,1,FALL,2021
MATH 191.001,MATH,Calculus I,4,15,FALL,2021
MATH 191.002,MATH,Calculus I,4,11,FALL,2021
MATH 397.001,MATH,Chaos and Fractals,3,8,FALL,2021
MATH 395.001,MATH,Partial Differential Equations,3,19,SPRING,2021
STAT 185.001,STAT,Introductory Statistics,4,16,SPRING,2021
STAT 185.003,STAT,Introductory Statistics,4,20,SPRING,2021
MATH 192.001,MATH,Calculus II,4,11,SUMMER,2021
MATH 251.001,MATH,Discrete Mathematics,3,10,FALL,2022
MATH 291.001,MATH,Calculus III,4,20,FALL,2022
MATH 291.002,MATH,Calculus III,4,17,FALL,2022
MATH 192.002,MATH,Calculus II,4,7,SPRING,2022
MATH 192.003,MATH,Calculus II,4,11,SPRING,2022
STAT 185.001,STAT,Introductory Statistics,4,17,SPRING,2022
FYS 178.033,FYS,Using Data to Understand our World,4,20,FALL,2023
MATH 191.001,MATH,Calculus I,4,12,FALL,2023
MATH 397.001,MATH,Chaos and Fractals,3,21,FALL,2023
CSCI 373.001,CSCI,Dynamic Data Visualization,3,14,SPRING,2023
MATH 251.001,MATH,Discrete Mathematics,3,22,SPRING,2023
MATH 291.001,MATH,Calculus III,4,8,SPRING,2023
MATH 491.001,MATH,Analysis I,3,12,FALL,2024
STAT 185.001,STAT,Introductory Statistics,4,21,FALL,2024
STAT 185.002,STAT,Introductory Statistics,4,24,FALL,2024
MATH 192.001,MATH,Calculus II,4,23,SPRING,2024
MATH 192.002,MATH,Calculus II,4,27,SPRING,2024
MATH 395.001,MATH,Partial Differential Equations,3,12,SPRING,2024
MATH 191.001,MATH,Calculus I,4,19,SPRING,2025
MATH 191.002,MATH,Calculus I,4,28,SPRING,2025
MATH 295.001,MATH,Math for Machine Learning,4,18,SPRING,2025
