Team,Wins,Losses,WL%,TEAM Total Points,TEAM Red Zone Scores,TEAM Red Zone Attempts,TEAM Scoring Points/Game,TEAM PAT Kicking Attempts,TEAM PAT Kicking Made,OPP Scoring Points/Game,TEAM Total Offense Yards,TEAM First Downs Total,Turnover margin,TEAM Total Offense Plays,TEAM Passing Rating,TEAM Rushing TD,OPP Passing Rating,OPP Total Points,OPP Total Offense Yards / Play,TEAM 3rd Down Conversions,OPP Passing Attempts,TEAM Total Offense Yards / Play,OPP Passing Interceptions,TEAM Interceptions Returns,OPP Passing Yards per Attempt,OPP 3rd Down Conversions Attempts,TEAM 3rd Down Conversion %,OPP Rushing TD,TEAM First Downs Rushing,OPP Red Zone Scores,TEAM Rushing Yards,OPP 4th Down Conversions Attempts,OPP Rushing Yards / Attempt,TEAM Passing Yards per Attempt,OPP Punting Yards,OPP Punting Punts,TEAM Rushing Attempts,TEAM Passing TD,OPP Red Zone Success %,OPP Fumbles Number,OPP Rushing Yards,OPP Red Zone Attempts,OPP Total Offense Plays,TEAM Rushing Yards / Attempt,TEAM 4th Down Conversion %,OPP 3rd Down Conversion %,TEAM First Downs Passing,TEAM Passing Yards,OPP Passing Completions,OPP Fumbles Lost,TEAM Passing Interceptions,OPP Interceptions Returns,TEAM Field Goals Attempts,TEAM Punt Returns Returns,TEAM Field Goals Made,OPP Passing TD,TEAM Punting Punts,OPP 4th Down Conversion %,TEAM Punting Yards,OPP Punt Returns Returns,TEAM Interceptions Yards,OPP First Downs Rushing,TEAM 3rd Down Conversions Attempts,TEAM Red Zone Success %,OPP 4th Down Conversions,TEAM Punt Returns Yards,TEAM Time of Possession,TEAM Passing Completions,TEAM Kickoff Returns Returns,OPP Total Offense Yards,OPP Time of Possession,OPP Punt Returns Yards,TEAM Interceptions TD,OPP Kickoff Returns Returns,OPP Penalties Number,OPP Kickoff Returns Yards / Return,OPP Interceptions TD,TEAM Kickoff Returns Yards,OPP Kickoff Returns Yards,TEAM Passing Attempts,OPP Interceptions Yards,TEAM 4th Down Conversions,TEAM Fumbles Number,TEAM Fumbles Lost,OPP First Downs By Penalty,TEAM Penalties Yards,OPP First Downs Total,OPP Punting Yards / Punt,OPP First Downs Passing,TEAM 4th Down Conversions Attempts,TEAM Punt Returns Yards / Return,TEAM Penalties Number,TEAM PAT Kicking Success %,TEAM Kickoff Returns TD,OPP Penalties Yards,OPP Field Goals Made,TEAM Field Goals Success %,OPP Passing Yards,OPP PAT Kicking Success %,OPP Field Goals Attempts,TEAM First Downs By Penalty,TEAM Kickoff Returns Yards / Return,OPP Kickoff Returns TD,OPP Field Goals Success %,TEAM Punting Yards / Punt,OPP 3rd Down Conversions,OPP Punt Returns TD,TEAM Punt Returns TD,OPP Rushing Attempts,OPP Punt Returns Yards / Return
Wisconsin,5,7,0.4166666666666667,271,32,41,22.6,31,31,23.1,4204,225,-6,787,118.48,19,127.77,277,5.48,57,323,5.34,4,4,6.6006191950464395,158,0.3608,20,104,35,1844,15,4.63,6.465753424657534,2706,61,422,14,0.875,12,1980,40,751,4.37,0.6,0.3924,98,2360,202,8,10,10,19,16,12,12,55,0.5333,2491,19,18,106,158,0.7805,8,97,1761.0,208,26,4112,1839.67,89,0,13,68,20.15,2,636,262,365,134,12,16,8,13,450,219,44.36,100,20,6.06,63,1.0,0,559,13,0.632,2132,1.0,20,23,24.46,0,0.65,45.29,62,0,0,428,4.68
Florida International,4,8,0.3333333333333333,316,31,38,26.3,39,38,25.8,4200,215,-3,735,148.04,16,111.96,309,5.24,45,357,5.71,11,11,6.03641456582633,171,0.3103,28,77,36,1447,31,4.67,8.24251497005988,2411,60,401,24,0.7826000000000001,13,2296,46,849,3.61,0.5385,0.32159999999999994,119,2753,211,5,11,11,10,17,8,9,58,0.6774,2247,17,286,123,145,0.8158,21,76,1722.83,206,27,4451,1877.17,103,2,43,79,22.16,0,689,953,334,189,14,20,8,17,569,236,40.18,96,26,4.47,66,0.9740000000000001,0,658,16,0.8,2155,1.0,22,19,25.52,0,0.727,38.74,55,0,0,492,6.06
Jacksonville State,9,5,0.6428571428571429,504,49,56,36.0,64,62,26.1,6183,318,9,960,141.76,51,133.88,366,5.59,71,410,6.44,12,12,7.451219512195122,195,0.408,21,179,35,3517,27,4.26,8.490445859872612,2235,53,646,14,0.7292000000000001,21,2447,48,984,5.44,0.5417000000000001,0.4205,106,2666,247,12,7,7,20,18,14,21,52,0.44439999999999996,2199,13,89,128,174,0.875,12,82,1617.71,189,7,5502,1982.29,51,1,50,86,21.42,0,146,1071,314,48,13,21,8,35,808,304,42.17,141,24,4.56,83,0.9690000000000001,0,796,19,0.7,3055,0.976,26,33,20.86,1,0.731,42.29,82,0,0,574,3.92
Kennesaw State,2,10,0.16666666666666666,198,25,30,16.5,21,20,31.2,3011,164,-6,749,96.04,13,150.4,374,6.05,66,361,4.02,4,4,7.869806094182826,165,0.3568,25,79,44,1375,22,4.61,5.508417508417509,2061,52,452,6,0.8462000000000001,17,2111,52,819,3.04,0.3889,0.4121,70,1636,243,8,14,14,18,16,14,21,76,0.5909,3448,32,55,119,185,0.8332999999999999,13,107,1762.17,156,41,4952,1832.67,347,1,23,64,21.52,2,989,495,297,137,7,21,4,17,556,253,39.63,117,18,6.69,67,0.9520000000000001,2,606,10,0.778,2841,0.9790000000000001,18,15,24.12,0,0.556,45.37,68,1,0,458,10.84
Liberty,8,4,0.6666666666666666,345,42,51,28.8,42,41,23.5,5022,277,-3,831,126.3,28,126.38,282,5.36,68,323,6.04,8,8,7.294117647058823,163,0.43310000000000004,21,165,35,3008,25,4.0,6.968858131487889,2105,48,542,16,0.7609,13,1849,46,785,5.55,0.5714,0.36810000000000004,90,2014,190,7,7,7,14,14,10,11,43,0.56,1822,9,85,95,157,0.8234999999999999,14,148,1837.58,157,35,4205,1762.42,86,0,21,75,20.14,1,669,423,289,94,12,23,11,31,793,226,43.85,100,21,10.57,82,0.976,0,640,17,0.7140000000000001,2356,0.9690000000000001,22,22,19.11,0,0.773,42.37,60,0,0,462,9.56
Louisiana Tech,5,8,0.38461538461538464,272,35,48,20.9,31,29,21.0,4328,233,-5,897,131.64,14,114.5,273,4.68,78,366,4.82,5,5,6.139344262295082,178,0.392,21,93,27,1420,24,3.59,7.041162227602905,3074,74,484,18,0.75,21,1762,36,857,2.93,0.3077,0.3371,126,2908,204,12,8,8,22,30,15,11,67,0.4167,2654,14,60,107,199,0.7292000000000001,10,390,1881.08,256,26,4009,1656.15,67,0,4,63,14.5,2,639,58,413,146,8,23,14,25,658,231,41.54,99,26,13.0,69,0.935,0,544,12,0.682,2247,0.9690000000000001,18,14,24.58,0,0.667,39.61,60,0,0,491,4.79
Middle Tennessee,3,9,0.25,217,25,34,18.1,26,26,34.3,4201,218,-9,763,132.95,10,164.51,411,6.67,62,343,5.51,5,5,8.822157434402332,149,0.3851,26,57,48,1068,16,5.08,7.320093457943925,1790,39,335,16,0.8571,16,2364,56,808,3.19,0.4815,0.4832,137,3133,231,5,10,10,12,12,9,27,54,0.5,2335,19,42,124,161,0.7353000000000001,8,111,1813.0,273,30,5390,1787.0,129,0,30,66,18.03,1,530,541,428,95,13,13,9,18,736,281,45.9,139,27,9.25,88,1.0,0,611,11,0.75,3026,0.9620000000000001,15,24,17.67,0,0.733,43.24,72,0,1,465,6.79
New Mexico State,3,9,0.25,259,26,30,21.6,23,23,36.3,3878,232,-13,815,94.04,16,137.77,435,6.38,70,381,4.76,9,9,7.923884514435696,177,0.3846,29,111,42,2160,23,5.1,5.36875,2054,50,495,12,0.9129999999999999,10,2343,46,840,4.36,0.375,0.44630000000000003,87,1718,220,1,12,12,24,12,18,21,63,0.5652,2802,27,41,112,182,0.8667,13,60,1759.83,141,39,5362,1840.17,328,1,13,84,23.46,0,762,305,320,152,6,19,11,19,577,255,41.08,124,16,5.0,65,1.0,0,907,19,0.75,3019,0.98,23,34,19.54,0,0.826,44.48,79,1,0,459,12.15
Sam Houston State,10,3,0.7692307692307693,309,29,39,23.8,35,35,20.5,4523,245,12,907,123.47,21,109.39,266,4.78,76,399,4.99,16,16,5.7669172932330826,189,0.38780000000000003,17,123,30,2337,31,3.96,6.2457142857142856,2681,63,557,15,0.75,22,1879,40,874,4.2,0.6667000000000001,0.381,104,2186,229,11,9,9,24,17,14,14,66,0.3871,2716,34,182,111,196,0.7436,12,69,1931.54,217,22,4180,1670.08,279,2,32,87,22.75,0,439,728,350,91,14,16,6,15,493,238,42.56,112,21,4.06,60,1.0,0,727,11,0.583,2301,1.0,15,18,19.95,0,0.733,41.15,72,0,0,475,8.21
UTEP,3,9,0.25,234,19,27,19.5,28,28,32.3,3849,200,-1,803,123.31,9,140.58,388,5.66,59,352,4.79,11,11,7.607954545454546,185,0.3296,25,86,37,1449,20,4.3,6.575342465753424,2467,59,438,15,0.8043,21,2152,46,853,3.31,0.2963,0.4,95,2400,216,7,12,12,18,17,10,23,68,0.5,2498,25,164,100,179,0.7037,10,311,1672.92,223,24,4830,1922.92,190,0,22,69,26.95,0,496,593,365,134,8,17,7,20,611,246,41.81,126,27,18.29,68,1.0,1,629,14,0.556,2678,0.978,20,19,20.67,1,0.7,36.74,74,0,1,501,7.6
Western Kentucky,8,6,0.5714285714285714,349,39,51,24.9,41,41,24.6,5229,270,-4,910,146.52,14,137.52,345,5.92,78,321,5.75,10,10,7.679127725856698,190,0.41490000000000005,26,89,35,1524,25,5.0,7.882978723404255,2299,56,440,28,0.7955,17,3097,44,940,3.46,0.5938,0.4421,161,3705,195,10,12,12,19,15,18,18,55,0.52,2350,17,109,163,188,0.7646999999999999,13,47,1670.21,309,26,5562,1927.57,130,0,39,71,21.31,0,494,831,470,116,19,22,12,15,578,282,41.05,104,32,3.13,58,1.0,0,628,10,0.9470000000000001,2465,1.0,18,20,19.0,1,0.556,42.73,84,0,0,619,7.65
Connecticut,9,4,0.6923076923076923,415,41,44,31.9,49,49,23.1,5169,268,-1,912,127.05,23,123.68,300,5.1,71,433,5.67,10,10,6.454965357967668,195,0.38380000000000003,16,121,36,2590,23,3.8,6.512626262626263,3559,86,516,25,0.8371999999999999,15,1720,43,886,5.02,0.5,0.2974,115,2579,268,5,9,9,26,35,20,16,63,0.4783,2702,27,146,96,185,0.9318000000000001,11,261,1796.77,222,19,4515,1803.23,229,1,30,100,24.37,0,524,731,396,56,8,13,7,24,685,235,41.38,115,16,7.46,69,1.0,1,835,19,0.769,2795,0.971,23,32,27.58,2,0.826,42.89,58,1,0,453,8.48
Massachusetts,2,10,0.16666666666666666,270,37,45,22.5,32,31,35.5,4143,236,-1,810,123.68,18,143.01,426,6.22,66,269,5.11,6,6,7.877323420074349,138,0.386,32,118,47,1962,14,5.23,6.669724770642202,1707,41,483,14,0.9592,9,2375,49,723,4.06,0.5832999999999999,0.45649999999999996,92,2181,156,3,6,6,21,15,13,19,56,0.4286,2259,21,18,127,171,0.8222,6,130,1940.42,187,22,4494,1661.0,153,0,25,72,29.56,1,398,739,327,215,14,16,4,28,758,244,41.63,89,24,8.67,87,0.9690000000000001,0,640,14,0.619,2119,0.981,14,26,18.09,2,1.0,40.34,63,0,1,454,7.29
Notre Dame,14,2,0.875,578,49,60,36.1,74,73,15.5,6385,326,18,1013,140.56,45,104.4,248,4.75,76,451,6.3,19,19,6.008869179600887,217,0.413,16,147,34,3215,41,3.78,7.123595505617978,3145,75,568,24,0.7556,31,2209,45,1035,5.66,0.7333,0.3226,150,3170,235,14,8,8,27,29,15,14,50,0.36590000000000006,2091,20,454,126,184,0.8167,15,161,1810.06,296,17,4919,1790.0,83,5,38,87,15.61,0,402,593,445,78,22,13,7,28,814,272,41.93,118,30,5.55,93,0.986,1,773,13,0.556,2710,1.0,17,29,23.65,0,0.765,41.82,70,0,0,584,4.15
Akron,4,8,0.3333333333333333,245,22,28,20.4,24,24,32.0,3993,216,-10,765,119.59,11,153.68,384,6.07,59,343,5.22,3,3,8.084548104956268,163,0.36200000000000004,23,74,37,1204,26,4.62,6.656324582338902,2502,59,346,16,0.8809999999999999,13,2200,42,819,3.48,0.2667,0.3865,117,2789,221,7,10,10,16,7,13,24,66,0.5769,2846,16,27,104,163,0.7857,15,-1,1712.5,234,25,4973,1887.67,147,0,15,80,19.6,1,395,294,419,84,4,15,10,19,584,245,42.41,122,15,-0.14,76,1.0,0,641,11,0.813,2773,0.978,16,25,15.8,0,0.688,43.12,63,0,1,476,9.19
Ball State,3,9,0.25,304,30,34,25.3,36,35,40.1,4174,243,2,812,134.57,10,165.13,481,7.0,75,376,5.14,8,8,8.922872340425531,148,0.42369999999999997,24,86,44,1234,16,5.21,6.697038724373576,1406,34,373,26,0.9778,14,2104,45,780,3.31,0.46149999999999997,0.4865,134,2940,233,8,11,11,15,9,13,37,56,0.5,2257,17,115,100,177,0.8824,8,15,1858.25,280,35,5459,1741.75,163,1,34,64,17.91,2,794,609,439,236,12,14,3,22,544,267,41.35,145,26,1.67,59,0.972,1,593,14,0.867,3355,0.946,15,23,22.69,0,0.9329999999999999,40.3,72,0,0,404,9.59
Bowling Green,7,6,0.5384615384615384,352,41,50,27.1,40,39,21.6,4906,258,3,844,141.47,20,121.23,281,5.3,68,370,5.81,12,12,6.513513513513513,177,0.382,14,99,30,1778,28,4.28,7.465393794749403,2441,60,425,20,0.7692,10,1897,39,813,4.18,0.6154,0.33899999999999997,142,3128,214,2,6,6,28,24,19,17,50,0.6071,2040,9,144,101,178,0.82,17,107,1911.69,276,28,4307,1688.38,94,1,29,67,19.1,0,653,554,419,64,16,18,5,18,595,227,40.68,108,26,4.46,69,0.975,1,572,18,0.679,2410,0.9640000000000001,22,17,23.32,0,0.818,40.8,60,1,0,443,10.44
Buffalo,9,4,0.6923076923076923,375,38,46,28.8,34,34,26.4,4620,241,9,880,129.15,24,135.13,343,5.62,63,439,5.25,13,13,7.259681093394078,194,0.3369,17,120,31,2198,32,4.08,6.979827089337176,2521,63,533,19,0.8378,18,1906,37,906,4.12,0.6071,0.3711,103,2422,269,9,6,6,24,17,19,25,67,0.5,2783,16,347,97,187,0.8261,16,217,1733.46,194,25,5093,1823.85,123,3,26,61,20.85,1,417,542,347,122,17,17,7,22,564,263,40.02,144,28,12.76,58,1.0,0,514,13,0.792,3187,1.0,21,18,16.68,0,0.619,41.54,72,0,0,467,7.69
Central Michigan,4,8,0.3333333333333333,271,35,38,22.6,27,25,29.7,3954,216,-17,749,113.91,17,135.5,356,5.64,57,328,5.28,2,2,7.091463414634147,160,0.3519,20,105,41,1993,23,4.58,6.493377483443709,2298,53,447,11,0.8723000000000001,8,2037,47,773,4.46,0.5769,0.3375,83,1961,197,3,12,12,18,18,16,17,57,0.6087,2325,19,53,99,162,0.9211,14,221,1765.42,167,37,4363,1832.42,116,1,17,77,17.71,3,671,301,302,347,15,18,10,25,731,229,43.36,105,26,12.28,81,0.9259999999999999,1,706,25,0.889,2326,0.972,30,28,18.14,0,0.833,40.79,54,0,1,445,6.11
Eastern Michigan,5,7,0.4166666666666667,311,37,44,25.9,29,27,27.9,4534,258,-2,893,125.73,17,156.07,335,6.18,81,309,5.08,5,5,8.579288025889968,149,0.4219,19,102,26,1702,23,4.48,6.8076923076923075,2267,54,477,17,0.8125,22,1954,32,745,3.57,0.5517,0.3624,129,2832,197,10,10,10,25,19,20,22,51,0.3478,2129,16,23,103,192,0.8409,8,60,1866.75,249,22,4605,1733.25,94,0,23,87,20.7,1,404,476,416,112,16,13,7,34,744,236,41.98,99,29,3.16,77,0.9309999999999999,0,775,10,0.8,2651,0.972,17,27,18.36,0,0.588,41.75,54,0,1,436,5.88
Kent State,0,12,0.0,167,13,17,13.9,20,20,44.1,2799,156,-9,685,112.24,3,161.91,529,7.0,29,346,4.09,4,4,8.708092485549132,163,0.1883,36,61,58,923,15,5.9,6.380952380952381,1490,38,391,18,0.9063,12,3179,64,885,2.36,0.381,0.47850000000000004,70,1876,226,7,13,13,9,4,5,27,83,0.5333,3469,26,73,159,154,0.7646999999999999,8,45,1619.75,139,33,6192,1980.25,420,0,15,71,25.07,0,613,376,294,76,8,21,7,22,429,317,39.21,136,21,11.25,59,1.0,0,675,22,0.556,3013,1.0,26,25,18.58,1,0.846,41.8,78,2,0,539,16.15
Miami (Ohio),9,5,0.6428571428571429,337,40,49,24.1,35,34,18.8,4938,236,5,812,133.47,14,108.51,263,4.86,55,464,6.08,13,13,5.862068965517241,198,0.33740000000000003,20,83,28,1894,21,3.91,7.629072681704261,2754,68,413,23,0.7568,20,1920,37,955,4.59,0.4545,0.4242,136,3044,268,10,12,12,31,18,27,10,61,0.47619999999999996,2492,18,162,116,163,0.8162999999999999,10,100,1738.43,225,29,4640,1862.86,56,0,25,69,16.0,1,544,400,399,144,5,13,6,25,585,283,40.5,142,11,5.56,74,0.971,0,587,15,0.871,2720,1.0,21,17,18.76,0,0.7140000000000001,40.85,84,0,0,491,3.11
Northern Illinois,8,5,0.6153846153846154,319,33,38,24.5,32,28,18.5,4969,279,-3,933,120.67,22,112.86,241,4.72,81,372,5.33,9,9,6.026881720430108,165,0.41969999999999996,10,137,28,2649,26,3.54,6.2533692722371965,2612,65,562,16,0.7778,13,1458,36,784,4.71,0.4545,0.2667,115,2320,200,5,8,8,26,12,17,15,45,0.5,1677,6,150,89,193,0.8684000000000001,13,95,2001.31,216,20,3700,1598.92,20,0,40,67,19.53,0,484,781,371,95,15,20,9,25,556,213,40.18,99,33,7.92,55,0.875,1,592,18,0.654,2242,0.92,28,27,24.2,0,0.643,37.27,44,1,0,412,3.33
Ohio,11,3,0.7857142857142857,410,47,53,29.3,48,47,18.1,5678,308,-2,919,135.89,35,125.76,254,4.91,81,434,6.18,11,11,6.857142857142857,195,0.4765,14,156,30,2984,23,2.95,7.808695652173913,3139,75,574,15,0.8108,27,1268,37,864,5.2,0.6,0.37439999999999996,122,2694,265,9,12,12,16,18,13,16,60,0.4783,2432,19,53,81,170,0.8868,11,132,1962.29,217,26,4244,1635.93,147,1,34,80,19.76,1,547,672,345,73,6,15,10,14,637,232,41.85,137,10,7.33,78,0.9790000000000001,1,733,13,0.813,2976,0.9640000000000001,16,30,21.04,0,0.813,40.53,73,0,1,430,7.74
Toledo,8,5,0.6153846153846154,368,37,50,28.3,42,41,23.2,4809,257,1,889,139.09,13,117.1,302,4.9,65,426,5.41,13,13,6.345070422535211,204,0.3533,16,81,46,1504,25,3.73,7.295805739514349,2990,73,436,28,0.902,24,1959,51,951,3.45,0.5428999999999999,0.3824,144,3305,245,7,8,8,21,22,15,16,61,0.48,2475,18,230,115,184,0.74,12,285,1615.85,276,28,4662,1983.77,88,3,38,90,18.68,1,674,710,453,98,19,24,11,25,739,266,40.96,126,35,12.95,83,0.976,1,829,21,0.7140000000000001,2703,1.0,23,32,24.07,0,0.9129999999999999,40.57,78,0,0,525,4.89
Western Michigan,6,7,0.46153846153846156,376,38,42,28.9,47,47,31.3,4810,253,8,807,141.68,28,146.55,407,6.39,56,344,5.96,8,8,8.412790697674419,164,0.3522,28,122,42,2379,16,5.0,7.526315789473684,1726,44,484,18,0.9129999999999999,23,2502,46,844,4.92,0.6129,0.4268,113,2431,211,13,9,9,16,17,13,20,52,0.8125,2086,13,139,131,159,0.9048,13,68,1773.92,212,41,5396,1783.38,49,1,49,60,21.2,0,863,1039,323,69,19,12,4,21,509,275,39.23,123,31,4.0,54,1.0,0,503,14,0.813,2894,0.9790000000000001,21,18,21.05,4,0.667,40.12,70,0,0,500,3.77
Air Force,5,7,0.4166666666666667,227,32,36,18.9,24,24,23.3,3765,216,-3,811,107.95,24,141.39,279,5.93,78,289,4.64,4,4,7.826989619377162,140,0.4286,23,160,32,2688,27,4.57,7.804347826086956,1955,43,673,5,0.8889,17,1841,36,692,3.99,0.6389,0.3714,39,1077,187,8,10,10,15,7,9,12,45,0.5556,1991,11,80,89,182,0.8889,15,42,2030.5,62,5,4103,1561.92,145,0,19,63,19.21,0,73,365,138,149,23,15,5,13,346,204,45.47,102,36,6.0,38,1.0,0,581,10,0.6,2262,0.9690000000000001,13,17,14.6,0,0.769,44.24,52,1,0,403,13.18
Boise State,12,2,0.8571428571428571,522,56,64,37.3,65,65,22.6,6524,328,4,970,141.75,43,137.94,316,5.63,91,451,6.73,7,7,7.494456762749445,207,0.4946,15,152,33,3365,38,3.78,7.612048192771084,2925,66,555,23,0.75,20,1712,44,904,6.06,0.6818000000000001,0.38159999999999994,154,3159,273,9,7,7,18,25,13,24,49,0.5,2128,12,143,95,184,0.875,19,109,1911.64,261,22,5092,1688.36,176,2,40,92,22.23,0,491,889,415,32,15,12,5,17,647,241,44.32,129,22,4.36,76,1.0,1,737,10,0.722,3380,0.973,16,22,22.32,1,0.625,43.43,79,1,0,453,14.67
Colorado State,8,5,0.6153846153846154,317,34,44,24.4,33,33,25.8,5039,233,1,853,130.37,20,131.85,335,5.79,65,428,5.91,10,10,7.128504672897196,183,0.36310000000000003,21,103,35,2186,30,4.54,7.315384615384615,2407,59,463,16,0.8537,26,2077,41,885,4.72,0.6207,0.3934,113,2853,262,11,10,10,20,18,14,20,61,0.6,2430,18,18,101,179,0.7726999999999999,18,248,1875.69,236,19,5128,1714.38,44,0,22,87,20.73,1,345,456,390,175,18,18,10,24,669,260,40.8,135,29,13.78,84,1.0,0,730,12,0.7,3051,1.0,17,17,18.16,0,0.706,39.84,72,0,2,457,2.44
Fresno State,6,7,0.46153846153846156,339,39,47,26.1,39,38,24.8,4428,245,3,815,139.53,21,113.31,323,4.9,64,469,5.43,15,15,5.99360341151386,190,0.3951,14,73,42,1276,37,3.82,7.296296296296297,2307,55,383,20,0.8077,14,1812,52,943,3.33,0.4211,0.35259999999999997,141,3152,256,5,14,14,20,20,13,21,59,0.5676,2375,11,297,111,162,0.8298000000000001,21,240,1649.62,300,23,4623,1950.38,142,1,26,90,20.5,2,336,533,432,214,8,9,3,31,711,271,41.95,129,19,12.0,80,0.9740000000000001,0,820,17,0.65,2811,1.0,19,31,14.61,1,0.895,40.25,67,1,1,474,12.91
Hawai'i,5,7,0.4166666666666667,268,35,42,22.3,32,32,26.0,4390,249,-8,820,126.83,7,136.43,312,5.71,60,366,5.35,6,6,6.926229508196721,166,0.37270000000000003,20,71,38,1172,18,4.67,6.704166666666667,2374,55,340,25,0.8636,9,1988,44,792,3.45,0.5455,0.4036,150,3218,239,5,15,15,16,11,12,18,49,0.7778,2184,21,29,102,161,0.8332999999999999,14,159,1820.83,286,20,4523,1780.58,195,0,31,83,14.58,1,298,452,480,209,12,10,4,31,844,244,43.16,111,22,14.45,96,1.0,0,820,13,0.75,2535,0.972,18,28,14.9,0,0.722,44.57,67,0,1,426,9.29
Nevada,3,10,0.23076923076923078,300,34,38,23.1,38,37,28.8,4889,253,-2,828,143.69,21,129.04,374,6.04,75,347,5.9,11,11,7.4409221902017295,165,0.4464,31,114,48,2125,11,5.05,7.551912568306011,1683,41,462,19,0.8726999999999999,11,2507,55,843,4.6,0.5172,0.5273,117,2764,210,2,8,8,8,10,5,13,48,0.6364,1937,7,91,135,168,0.8946999999999999,7,74,1851.77,247,34,5089,1737.85,37,1,28,70,19.46,0,612,545,366,56,15,16,7,36,935,297,41.05,126,29,7.4,99,0.9740000000000001,0,639,17,0.625,2582,1.0,20,22,18.0,0,0.85,40.35,87,0,0,496,5.29
New Mexico,5,7,0.4166666666666667,402,44,48,33.5,42,41,38.0,5811,298,-9,846,121.56,37,159.19,456,6.81,65,396,6.87,3,3,8.45959595959596,164,0.4362,27,149,45,3043,21,5.42,7.097435897435897,1507,36,456,12,0.9375,17,2555,48,867,6.67,0.7222,0.5,125,2768,256,7,12,12,18,9,13,30,41,0.619,1750,16,3,127,149,0.9167000000000001,13,88,1732.92,226,19,5905,1868.5,208,0,31,84,23.68,1,348,734,390,109,13,16,7,29,978,296,41.86,140,18,9.78,112,0.976,0,785,15,0.722,3350,1.0,20,24,18.32,0,0.75,42.68,82,1,1,471,13.0
San Diego State,3,9,0.25,256,30,38,21.3,27,26,29.6,4015,222,3,799,126.61,13,144.06,355,5.93,64,343,5.03,7,7,7.489795918367347,169,0.3616,25,83,42,1547,25,4.89,6.581333333333333,1887,48,424,15,0.9129999999999999,11,2487,46,852,3.65,0.5313,0.47340000000000004,114,2468,223,5,8,8,17,18,14,21,60,0.56,2699,21,213,135,177,0.7895,14,108,1628.33,234,28,5056,1976.08,115,2,19,78,16.05,1,561,305,375,68,17,6,1,31,981,279,39.31,113,32,6.0,109,0.963,0,766,9,0.8240000000000001,2569,0.955,14,25,20.04,0,0.643,44.98,80,0,0,509,5.48
San Jose State,7,6,0.5384615384615384,369,39,48,28.4,45,45,27.5,5328,284,-1,876,133.64,13,122.55,358,5.05,67,435,6.08,21,21,6.958620689655173,210,0.39880000000000004,25,71,43,1145,32,3.52,7.577898550724638,2313,52,324,31,0.7963,15,1921,54,980,3.53,0.5294,0.4619,180,4183,268,7,16,16,17,8,12,16,57,0.5,2376,16,145,124,168,0.8125,16,52,1581.23,316,22,4948,2011.38,110,2,32,106,20.88,1,399,668,552,342,9,24,13,22,784,279,44.48,133,17,6.5,91,1.0,0,977,16,0.706,3027,0.976,20,33,18.14,1,0.8,41.68,97,0,0,545,6.88
