date,team1,home1,score1,team2,home2,score2,name1,name2,idx1,idx2
2022-12-29,660,1,83,314,-1,63,Gardner_Webb,Charleston_So,2,1
2022-12-29,986,1,87,753,-1,73,Longwood,High_Point,4,3
2022-12-29,1452,1,82,248,-1,72,Presbyterian,Campbell,5,0
2022-12-29,1889,1,62,1492,-1,58,UNC_Asheville,Radford,8,6
2022-12-29,1610,1,70,2072,-1,62,SC_Upstate,Winthrop,7,9
2022-12-31,986,-1,67,248,1,42,Longwood,Campbell,4,0
2022-12-31,314,1,90,1610,-1,85,Charleston_So,SC_Upstate,1,7
2022-12-31,660,-1,80,753,1,73,Gardner_Webb,High_Point,2,3
2022-12-31,1492,1,69,1452,-1,51,Radford,Presbyterian,6,5
2022-12-31,2072,1,62,1889,-1,60,Winthrop,UNC_Asheville,9,8
2023-01-04,248,1,63,660,-1,58,Campbell,Gardner_Webb,0,2
2023-01-04,986,-1,79,314,1,74,Longwood,Charleston_So,4,1
2023-01-04,1889,-1,76,753,1,72,UNC_Asheville,High_Point,8,3
2023-01-04,1610,-1,65,1492,1,60,SC_Upstate,Radford,7,6
2023-01-04,2072,1,82,1452,-1,72,Winthrop,Presbyterian,9,5
2023-01-07,1492,-1,63,660,1,59,Radford,Gardner_Webb,6,2
2023-01-07,986,1,85,2072,-1,71,Longwood,Winthrop,4,9
2023-01-07,314,-1,67,1452,1,61,Charleston_So,Presbyterian,1,5
2023-01-07,1889,1,58,248,-1,55,UNC_Asheville,Campbell,8,0
2023-01-07,1610,1,76,753,-1,57,SC_Upstate,High_Point,7,3
2023-01-11,314,1,106,753,-1,69,Charleston_So,High_Point,1,3
2023-01-11,660,-1,79,1452,1,78,Gardner_Webb,Presbyterian,2,5
2023-01-11,248,-1,78,1610,1,63,Campbell,SC_Upstate,0,7
2023-01-11,1492,-1,66,2072,1,52,Radford,Winthrop,6,9
2023-01-12,1889,1,54,986,-1,46,UNC_Asheville,Longwood,8,4
2023-01-14,2072,-1,78,248,1,74,Winthrop,Campbell,9,0
2023-01-14,1889,-1,72,660,1,67,UNC_Asheville,Gardner_Webb,8,2
2023-01-14,753,1,64,1452,-1,56,High_Point,Presbyterian,3,5
2023-01-14,986,1,72,1610,-1,65,Longwood,SC_Upstate,4,7
2023-01-14,1492,1,75,314,-1,70,Radford,Charleston_So,6,1
2023-01-18,1492,-1,63,248,1,55,Radford,Campbell,6,0
2023-01-18,1889,-1,73,314,1,63,UNC_Asheville,Charleston_So,8,1
2023-01-18,753,1,71,2072,-1,66,High_Point,Winthrop,3,9
2023-01-18,986,1,64,660,-1,59,Longwood,Gardner_Webb,4,2
2023-01-18,1610,1,61,1452,-1,60,SC_Upstate,Presbyterian,7,5
2023-01-21,248,-1,78,314,1,76,Campbell,Charleston_So,0,1
2023-01-21,986,-1,58,1452,1,56,Longwood,Presbyterian,4,5
2023-01-21,1492,1,95,753,-1,80,Radford,High_Point,6,3
2023-01-21,1889,1,64,1610,-1,58,UNC_Asheville,SC_Upstate,8,7
2023-01-21,660,-1,63,2072,1,61,Gardner_Webb,Winthrop,2,9
2023-01-25,660,1,78,1610,-1,66,Gardner_Webb,SC_Upstate,2,7
2023-01-25,248,-1,72,753,1,64,Campbell,High_Point,0,3
2023-01-25,1889,1,88,1452,-1,80,UNC_Asheville,Presbyterian,8,5
2023-01-25,2072,1,76,314,-1,64,Winthrop,Charleston_So,9,1
2023-01-26,1492,1,63,986,-1,59,Radford,Longwood,6,4
2023-01-28,1889,-1,78,248,1,65,UNC_Asheville,Campbell,8,0
2023-01-28,660,1,86,753,-1,58,Gardner_Webb,High_Point,2,3
2023-01-28,314,-1,75,986,1,63,Charleston_So,Longwood,1,4
2023-01-28,2072,-1,76,1452,1,58,Winthrop,Presbyterian,9,5
2023-01-28,1492,-1,55,1610,1,52,Radford,SC_Upstate,6,7
2023-02-01,248,1,78,1610,-1,66,Campbell,SC_Upstate,0,7
2023-02-01,660,-1,67,314,1,59,Gardner_Webb,Charleston_So,2,1
2023-02-01,1492,-1,67,1452,1,59,Radford,Presbyterian,6,5
2023-02-01,2072,1,76,986,-1,74,Winthrop,Longwood,9,4
2023-02-02,1889,1,89,753,-1,63,UNC_Asheville,High_Point,8,3
2023-02-04,660,1,56,1452,-1,48,Gardner_Webb,Presbyterian,2,5
2023-02-04,753,1,81,314,-1,73,High_Point,Charleston_So,3,1
2023-02-04,986,1,74,248,-1,50,Longwood,Campbell,4,0
2023-02-04,1492,1,69,2072,-1,66,Radford,Winthrop,6,9
2023-02-04,1610,1,76,1889,-1,70,SC_Upstate,UNC_Asheville,7,8
2023-02-08,248,1,82,753,-1,66,Campbell,High_Point,0,3
2023-02-08,986,1,66,1452,-1,46,Longwood,Presbyterian,4,5
2023-02-08,1889,1,86,2072,-1,79,UNC_Asheville,Winthrop,8,9
2023-02-08,1610,1,77,314,-1,60,SC_Upstate,Charleston_So,7,1
2023-02-09,660,-1,61,1492,1,48,Gardner_Webb,Radford,2,6
2023-02-11,1492,-1,90,314,1,71,Radford,Charleston_So,6,1
2023-02-11,660,1,77,248,-1,73,Gardner_Webb,Campbell,2,0
2023-02-11,986,-1,70,753,1,67,Longwood,High_Point,4,3
2023-02-11,1889,-1,76,1452,1,72,UNC_Asheville,Presbyterian,8,5
2023-02-11,1610,-1,79,2072,1,70,SC_Upstate,Winthrop,7,9
2023-02-15,248,1,67,314,-1,51,Campbell,Charleston_So,0,1
2023-02-15,2072,-1,86,660,1,78,Winthrop,Gardner_Webb,9,2
2023-02-15,753,-1,71,1452,1,69,High_Point,Presbyterian,3,5
2023-02-15,1610,1,72,986,-1,67,SC_Upstate,Longwood,7,4
2023-02-16,1889,-1,63,1492,1,54,UNC_Asheville,Radford,8,6
2023-02-18,248,1,74,1452,-1,57,Campbell,Presbyterian,0,5
2023-02-18,2072,-1,75,314,1,67,Winthrop,Charleston_So,9,1
2023-02-18,753,1,81,1610,-1,66,High_Point,SC_Upstate,3,7
2023-02-18,986,1,73,1492,-1,63,Longwood,Radford,4,6
2023-02-18,1889,1,75,660,-1,63,UNC_Asheville,Gardner_Webb,8,2
2023-02-22,753,1,69,1492,-1,64,High_Point,Radford,3,6
2023-02-22,1610,-1,59,1452,1,57,SC_Upstate,Presbyterian,7,5
2023-02-22,1889,1,80,314,-1,62,UNC_Asheville,Charleston_So,8,1
2023-02-22,2072,1,95,248,-1,93,Winthrop,Campbell,9,0
2023-02-23,986,-1,75,660,1,63,Longwood,Gardner_Webb,4,2
2023-02-25,314,1,85,1452,-1,59,Charleston_So,Presbyterian,1,5
2023-02-25,1889,-1,76,986,1,66,UNC_Asheville,Longwood,8,4
2023-02-25,1492,1,67,248,-1,65,Radford,Campbell,6,0
2023-02-25,1610,1,75,660,-1,69,SC_Upstate,Gardner_Webb,7,2
2023-02-25,2072,1,84,753,-1,78,Winthrop,High_Point,9,3